,price,volume
215825,215825,0
215850,215850,0
215875,215875,0
215900,215900,0
215925,215925,0
215950,215950,0
215975,215975,0
216000,216000,0
216025,216025,0
216050,216050,0
216075,216075,0
216100,216100,0
216125,216125,0
216150,216150,0
216175,216175,0
216200,216200,0
216225,216225,0
216250,216250,0
216275,216275,0
216300,216300,0
216325,216325,0
216350,216350,0
216375,216375,0
216400,216400,0
216425,216425,0
216450,216450,0
216475,216475,0
216500,216500,0
216525,216525,0
216550,216550,0
216575,216575,0
216600,216600,0
216625,216625,0
216650,216650,0
216675,216675,0
216700,216700,0
216725,216725,0
216750,216750,0
216775,216775,0
216800,216800,0
216825,216825,0
216850,216850,0
216875,216875,0
216900,216900,0
216925,216925,0
216950,216950,0
216975,216975,0
217000,217000,0
217025,217025,0
217050,217050,0
217075,217075,0
217100,217100,0
217125,217125,0
217150,217150,0
217175,217175,0
217200,217200,0
217225,217225,0
217250,217250,0
217275,217275,0
217300,217300,0
217325,217325,0
217350,217350,0
217375,217375,0
217400,217400,0
217425,217425,0
217450,217450,0
217475,217475,0
217500,217500,0
217525,217525,0
217550,217550,0
217575,217575,0
217600,217600,0
217625,217625,0
217650,217650,0
217675,217675,0
217700,217700,0
217725,217725,0
217750,217750,0
217775,217775,0
217800,217800,0
217825,217825,0
217850,217850,0
217875,217875,0
217900,217900,0
217925,217925,0
217950,217950,0
217975,217975,0
218000,218000,0
218025,218025,0
218050,218050,0
218075,218075,0
218100,218100,0
218125,218125,0
218150,218150,0
218175,218175,0
218200,218200,0
218225,218225,0
218250,218250,0
218275,218275,0
218300,218300,0
218325,218325,0
218350,218350,0
218375,218375,0
218400,218400,0
218425,218425,0
218450,218450,0
218475,218475,0
218500,218500,0
218525,218525,0
218550,218550,0
218575,218575,0
218600,218600,0
218625,218625,0
218650,218650,0
218675,218675,0
218700,218700,0
218725,218725,0
218750,218750,0
218775,218775,0
218800,218800,0
218825,218825,0
218850,218850,0
218875,218875,0
218900,218900,0
218925,218925,0
218950,218950,0
218975,218975,0
219000,219000,0
219025,219025,0
219050,219050,0
219075,219075,0
219100,219100,0
219125,219125,0
219150,219150,0
219175,219175,0
219200,219200,0
219225,219225,0
219250,219250,0
219275,219275,0
219300,219300,0
219325,219325,0
219350,219350,0
219375,219375,0
219400,219400,0
219425,219425,0
219450,219450,0
219475,219475,0
219500,219500,0
219525,219525,0
219550,219550,0
219575,219575,0
219600,219600,0
219625,219625,0
219650,219650,0
219675,219675,0
219700,219700,0
219725,219725,0
219750,219750,0
219775,219775,0
219800,219800,0
219825,219825,0
219850,219850,0
219875,219875,0
219900,219900,0
219925,219925,0
219950,219950,0
219975,219975,0
220000,220000,0
220025,220025,0
220050,220050,0
220075,220075,0
220100,220100,0
220125,220125,0
220150,220150,0
220175,220175,0
220200,220200,0
220225,220225,0
220250,220250,0
220275,220275,0
220300,220300,0
220325,220325,0
220350,220350,0
220375,220375,0
220400,220400,0
220425,220425,0
220450,220450,0
220475,220475,0
220500,220500,0
220525,220525,0
220550,220550,0
220575,220575,0
220600,220600,0
220625,220625,0
220650,220650,0
220675,220675,0
220700,220700,0
220725,220725,0
